listing_id,year,make,model,trim,title,description,photo_url,price_aed,mileage_km,body_type,transmission,fuel_type
1,2013,ford,explorer,other,ford Explorer 2013 silver color GCC calen car,ford explorer 2013 silver color GCC calen car,https://dbz-images.dubizzle.com/images/2023/04/02/cbea51c7d80b4b7d882533bb24abc0fb-.jpeg?imwidth=800,,,,,
2,2019,mercedes-benz,c-class,c300 luxury,"2019 MERCEDES C 300, AMG SPEC, 2.0T, USA","Deluxe Cars Fze, Showroom No : 143, Ducamz, Ras Al Khor, Dubai, U.A.E Mobile No : +971552011671",https://dbz-images.dubizzle.com/images/2023/08/03/c6ac24f32ee240f4afe45d0f5a992a5e-.jpeg?impolicy=dpv,,,,,
3,2018,land rover,range rover velar,other,Land Rover Range Rover Velar 2018 GCC | Warranty,"Payment plans through bank finance: • AED 2,111.00 monthly for 5 years with 10% Down-Payment • AED 1,876.00 monthly for 5 years with 20% Down-Payment • AED 119,750.00 in cash For Sale: 2018 Range Rover Velar R-Dynamic SE Experience the ultimate blend of luxury and performance with this stunning Range Rover Velar. Powered by a robust 2.0 L I4 engine generating 250 hp, this SUV promises a thrilling drive every time. • Mileage: Just 68,000 km • Drive Type: Automatic AWD • Seating Capacity: 5 with plush beige interior • Transmission: 8-speed automatic (AT) • Trim: R-Dynamic SE • Regional Specs: GCC specifications Impeccably maintained and in good condition , this vehicle comes with GCC warranty for your peace of mind. Enjoy the flexibility of a bespoke down-payment plan tailored to your needs. Don't miss the chance to own a piece of Land Rover luxury with a 16"" rim size and an elegant design that's built to impress. Contact us today and drive away in style! Equipment: • Rim size 16″ • Beige interior Payment Methods: • Cash • Cryptocurrency • Bank financing (cars from 2018 and above) • In-house financing DD ID: 419-BACYY",https://dbz-images.dubizzle.com/images/2024/03/15/af9594c6dd8a4c6aa1a7bec91c12f80a-.jpeg?imwidth=800,119750.0,68000.0,suv,automatic,
4,2019,mercedes-benz,e-class,e 400,MERCEDES E 450 COUPE 2019 JAPANESE SPECS,"Model - 2019 Mileage - 56,000 KM Grade - 4.5 B +971568992992 Japanese Specs Clean Title Scratch Less Car Fresh Import No Paint No Accident Lane assist Radar Adaptive Cruise Control Heads Up Display Auto park 360 ° Camera Sunroof AMG Rims Brumester Surround Sound System",https://dbz-images.dubizzle.com/images/2024/05/19/c47ef9ac50f548b580033ad92d14bd0c-.heic?impolicy=dpv,,56000.0,coupe,,
5,2017,mercedes-benz,c-class,c63 amg,MERCEDES C 63 COUPE AMG 2017 JAPANESE SPECS,Model - 2017 Mileage - 48000 KM Grade - 4.5 B +971568992992 Japanese specs Low mileage V8 4.0 biturbo Panoramic sunroof Red / black interior Lane assist Adaptive cruise control Radar Paddle shifter Ambient light Brumester surround sound system,https://dbz-images.dubizzle.com/images/2024/05/21/da4cdbd841dd4516a83c409a372d79c8-.jpeg?impolicy=dpv,,48000.0,coupe,,
6,2018,mini,cooper,cooper,"Mini Cooper 2018 GCC 120,000 km 30500",Mini Cooper Mini Cooper 2018 1.5L GCC in good condition keyless open keyless start parking sensor Bluetooth panoramic roof and many more options.,https://dbz-images.dubizzle.com/images/2024/06/29/f2d53b92a5fb4bbbb9a80777a1b17efd-.jpeg?impolicy=dpv,30500.0,120000.0,,,
7,2024,mercedes-benz,g-class brabus,other,P900 ROCKET ONE OF TEN - 2024 OFFICIAL MY (LAST UNIT OF PRODUCTION),"BRABUS P900 ROCKET (1 of 10) LAST UNIT OF PRODUCTION Contact us for more information. 0503900650 Visit our showroom: Stoub Biz Motors, Showroom 50, Block 5, Al Aweer Auto Market (New), Ras Al Khor, Dubai. Check our website to view our full inventory: www.stoubbiz.ae Follow us on Instagram https://www.instagram.com/stoubbizmotors?igsh=MWxiNXUxYnBtN200bQ== STOUB BIZ MOTORS LLC Stoub Biz Motors LLC specializes in procuring the finest luxury motorcars in the world for our local, regional, and international clients. With over 20 years of experience in the sport, exotic, luxury, and supercar business, we maintain close ties with the top manufacturers and importers. This gives us an edge to secure even the hardest-to-find vehicles at special prices – in both regular and rare editions. We can obtain new models that are sold out, available elsewhere only on long waitlists, supercars loaded with space-age technology, and the latest accessories and sports cars with racing-car performance and luxury-car comfort. ‎ستوب بيز موتورز ذ م م متخصصون في شراء أرقى السيارات الفاخرة في العالم لعملائنا المحليين والإقليميين والدوليين. أكثر من 20 عامًا من الخبرة في السيارات الرياضية، والسيارات الفاخرة، والسيارات الخارقة، نحافظ على علاقات وثيقة مع كبار المصنعين والمستوردين. وهذا يمنحنا ميزة تأمين السيارات التي يصعب العثور عليها بأسعار خاصة - لكل من الإصدارات العادية والنادرة. يمكننا الحصول على الطرازات الجديدة غير المتوفرة في أماكن أخرى الا على قوائم الانتظار الطويل، والسيارات الخارقة المحملة بأحدث التكنولوجيا والإكسسوارات والسيارات الرياضية م",https://dbz-images.dubizzle.com/images/2024/08/02/9f18551506e54f2facecedc6d2419a09-.jpeg?impolicy=dpv,,,,,
8,2016,porsche,cayenne,gts,2016 Cayenne GTS fully loaded GCC,"Am the second owner, all services done on time, its the GTS edition, fully loaded with all the options, mechanically in great condition, please call for more information . Please no dealers",https://dbz-images.dubizzle.com/images/2024/10/05/d0dcc92d67f94d649c985428a82199e1-.jpeg?impolicy=dpv,,,,,
9,2022,bentley,bentayga,other,"BENTLEY BENTAYGA FULL MANSORY, 2022. FULLY LOADED, EXCELLENT CONDITION","BENTLEY BENTAYGA FULL MANSORY, 2022, FULLY LOADED, EXCELLENT CONDITION",https://dbz-images.dubizzle.com/images/2023/07/12/1c2e96a26dc446ef8a7963384f691483-.jpeg?impolicy=dpv,,,,,
10,2017,rolls-royce,dawn,standard,"2017 ROLLS ROYCE DAWN DONE 42,000KM GCC","2017 ROLLS ROYCE DAWN DONE 42,000KM GCC About us: Welcome to Al Qalam Motors Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l Q Motors ""Your Destination to True Luxury • Luxurious Automotive Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy, Sell, and Trade-In""",https://dbz-images.dubizzle.com/images/2023/07/20/959b4ecd8f11460babe438838987f143-.jpeg?impolicy=dpv,,42000.0,,,
11,2016,nissan,altima,sv,Nissan Altima GCC 2016 SV mid option Accident free excellent condition,Nissan Altima GCC 2016 SV mid option excellent condition Location & RAK,https://dbz-images.dubizzle.com/images/2024/01/09/e79d249850244d468b97a3ca1590bd2e-.jpeg?impolicy=dpv,,,,,
